date,btc_price,total_balance,net_flow,inflow,outflow
2014-05-16,449.166281122606,597120.0427830998,696.6248233999574,1906.851414549964,1210.2265911500065
2014-05-17,451.230549112886,596845.97272652,-274.07005657999827,42.94067150998984,317.0107280899881
2014-05-18,449.127884979357,597966.49110949,1120.5183829699884,1170.843671929987,50.32528895999861
2014-05-19,446.985782021753,598738.64446322,772.1533537300364,1327.9797880500237,555.8264343199872
2014-05-20,491.424736603221,600237.90309887,1499.2586356499862,2838.670947119987,1339.4123114700008
2014-05-21,495.03427831101,601621.08787015,1383.1847712799934,1421.0538138799934,37.869042599999965
2014-05-22,527.691750640225,602711.8543588702,1090.7664887199912,1260.2322850599935,169.46579634000216
2014-05-23,523.888871531554,600137.41977949,-2574.4345793799985,783.6120974000039,3358.0466767800026
2014-05-24,528.108040784233,725118.5585795899,124981.13880010003,125060.83963397003,79.70083387
2014-05-25,574.000923186107,727286.98777774,2168.4291981499687,2484.6281017399688,316.19890359000004
2014-05-26,586.212068788533,727963.4826291,676.4948513599875,840.9751798399811,164.48032847999363
2014-05-27,575.917762156633,728309.6411810899,346.1585519900093,2239.4788511600104,1893.3202991700011
2014-05-28,579.491396111656,733611.2695910201,5301.628409930012,5347.691975430012,46.06356549999998
2014-05-29,569.467543314324,734323.0500715501,711.7804805299971,1505.6585230400078,793.8780425100107
2014-05-30,621.029459421245,734824.13144653,501.08137498000224,1553.6410435099972,1052.559668529995
2014-05-31,626.396651839592,735631.3636870801,807.2322405499892,2088.6030001399995,1281.3707595900103
2014-06-01,626.538965784291,735713.19965686,81.83596978000969,1641.328894430008,1559.4929246499983
2014-06-02,667.260159669021,735136.9714193,-576.2282375600043,3343.2803953500083,3919.5086329100127
2014-06-03,671.348575400471,739205.7376764,4068.7662571000205,4164.71256804002,95.94631093999999
2014-06-04,642.055652894989,739525.5952393599,319.8575629599761,1798.8366509199825,1478.9790879600064
2014-06-05,661.348221006457,738942.1671073199,-583.4281320399834,1116.5228023600055,1699.950934399989
2014-06-06,649.174448735342,727731.8691182701,-11210.29798905003,838.3123075199973,12048.610296570027
2014-06-07,657.491754015786,727276.8066928098,-455.0624254600075,461.8888623299856,916.9512877899931
2014-06-08,659.169023435859,727964.56349734,687.7568045299956,1039.7508577299911,351.99405319999556
2014-06-09,650.597167334884,727647.9575475203,-316.6059498199702,118.91529824999998,435.52124806997017
2014-06-10,656.724655188855,755623.0315501901,27975.074002669997,29026.617828899994,1051.5438262299986
2014-06-11,637.564452522189,822262.26394452,66639.23239433003,66656.06767133,16.83527699997766
2014-06-12,596.478601865419,891452.6461483998,69190.38220387998,77116.95732557,7926.575121690004
2014-06-13,604.732318935248,891681.8246174899,229.17846909003765,3507.260099190035,3278.0816300999973
2014-06-14,573.141396313358,891045.07698339,-636.7476341000063,35.594560919997505,672.3421950200038
2014-06-15,593.920477013976,890689.31584505,-355.7611383400208,69.12561306997665,424.8867514099975
2014-06-16,591.036048107085,894186.4047819,3497.088936849974,3505.4592864399738,8.37034959
2014-06-17,613.965632412383,894535.9533810699,349.5485991700144,631.4982002800084,281.949601109994
2014-06-18,608.313569150799,894158.6777675299,-377.2756135399902,1200.968986029996,1578.2445995699861
2014-06-19,596.956806152859,895120.71678326,962.0390157300045,995.3578073500214,33.318791620016874
2014-06-20,591.938977873436,895550.5253392499,429.8085559900278,1344.294119500009,914.4855635099811
2014-06-21,595.32859959483,895595.9478724699,45.4225332199606,130.7810451299777,85.35851191001711
2014-06-22,603.349486325387,895465.9406870401,-130.00718542999155,239.89351786000438,369.90070328999593
2014-06-23,591.297419330408,897757.1379160201,2291.1972289800087,2294.932430570009,3.7352015900000026
2014-06-24,580.451965284948,899353.2336874601,1596.095771439984,2217.1010397699856,621.0052683300016
2014-06-25,566.734044843783,902272.3708698797,2919.1371824199887,2922.6672943399885,3.5301119200000004
2014-06-26,582.244195106148,902757.12661116,484.75574128001335,1077.085154579986,592.3294132999727
2014-06-27,604.313184303073,903573.6820813899,816.5554702299778,934.752687259992,118.19721703001414
2014-06-28,595.842643566275,903756.58252432,182.90044292998397,295.15117213998394,112.25072920999999
2014-06-29,601.233282002367,903827.3893868999,70.806862580013,85.59671309000466,14.789850509991652
2014-06-30,640.811450154161,904949.9062831601,1122.5168962600205,3571.4772168000277,2448.960320540007
2014-07-01,641.702926073277,905114.44914309,164.54285993002577,3242.739394940005,3078.196535009979
2014-07-02,654.638678058191,902696.4131481899,-2418.0359949000613,1880.8846509900002,4298.920645890062
2014-07-03,644.638854458211,904982.03483244,2285.6216842500357,2288.750742280011,3.129058029975118
2014-07-04,631.950545601913,904498.9593094499,-483.07552298998166,3.122275840011568,486.19779882999325
2014-07-05,631.62802302674,905881.9723196101,1383.0130101599862,1402.618942380002,19.605932220015916
2014-07-06,637.272241944862,905449.6658886898,-432.3064309200105,524.059311020001,956.3657419400115
2014-07-07,621.540798351775,885397.95985476,-20051.706033929964,135.70123789002818,20187.407271819993
2014-07-08,625.698704966266,885611.0577445502,213.0978897899609,330.3618825700028,117.2639927800419
2014-07-09,624.273645141518,887252.8996679101,1641.841923359993,1749.7128595499962,107.87093619000335
2014-07-10,616.224397928506,886751.0529766198,-501.8466912899913,53.67121425999983,555.5179055499912
2014-07-11,635.986130872417,886843.07276348,92.01978686001377,531.3852813900065,439.36549452999276
2014-07-12,636.214094287588,891386.5660779199,4543.49331443999,4598.451355759996,54.95804132000558
2014-07-13,629.606558432338,891904.4438283299,517.877750409971,530.0925099899708,12.21475957999983
2014-07-14,619.196062352768,892692.74214332,788.2983149899999,1574.4582449299821,786.1599299399822
2014-07-15,620.855859938569,892910.5322387101,217.79009539008854,271.8763110800366,54.08621568994805
2014-07-16,617.304554188424,893200.87943924,290.34720052993237,996.0319207399748,705.6847202100424
2014-07-17,623.603995872464,892219.91791561,-980.9615236299969,269.5839129499991,1250.545436579996
2014-07-18,630.816186224942,892707.52569349,487.607777880065,1671.4369458800224,1183.8291679999575
2014-07-19,630.706883563829,892245.1631135801,-462.3625799100465,212.32535637999504,674.6879362900415
2014-07-20,624.458917838067,891289.9677768,-955.1953367799767,176.59953546001773,1131.7948722399944
2014-07-21,620.145118753808,891622.4998204099,332.5320436099345,334.4441433199345,1.9120997100000001
2014-07-22,618.977125810173,890965.0249730098,-657.4748473999869,67.02999629000898,724.5048436899958
