date,basis_binance,basis_deribit,basis_3m
2021-07-26,3.3097,7.8681,5.5889
2021-07-27,5.2254,8.774,6.9997
2021-07-28,6.0127,9.1813,7.597
2021-07-29,6.491,8.7849,7.6379
2021-07-30,6.8711,9.1771,8.0241
2021-07-31,6.531,8.85,7.6905
2021-08-01,5.4032,8.2514,6.8273
2021-08-02,5.6456,8.3267,6.9862
2021-08-03,5.6028,6.8295,6.2162
2021-08-04,5.9337,7.4168,6.6752
2021-08-05,6.375,8.4228,7.3989
2021-08-06,7.0387,8.0903,7.5645
2021-08-07,6.993,8.9848,7.9889
2021-08-08,5.9864,7.473,6.7297
2021-08-09,7.7446,10.1595,8.952
2021-08-10,6.872,8.516,7.694
2021-08-11,6.8403,8.9829,7.9116
2021-08-12,6.4018,8.1604,7.2811
2021-08-13,8.8509,10.4086,9.6298
2021-08-14,7.2629,9.1454,8.2041
2021-08-15,7.6772,9.6502,8.6637
2021-08-16,6.4499,8.828,7.639
2021-08-17,6.1056,7.4198,6.7627
2021-08-18,6.0052,7.969,6.9871
2021-08-19,8.6927,9.2583,8.9755
2021-08-20,8.5528,8.9332,8.743
2021-08-21,7.8937,8.8235,8.3586
2021-08-22,9.1176,9.9847,9.5511
2021-08-23,8.3196,9.7981,9.0589
2021-08-24,6.7464,7.3894,7.0679
2021-08-25,9.104,9.2307,9.1674
2021-08-26,6.8768,7.3219,7.0994
2021-08-27,9.1532,9.3149,9.2341
2021-08-28,9.087,9.728,9.4075
2021-08-29,7.9393,8.7824,8.3609
2021-08-30,7.0647,8.6366,7.8506
2021-08-31,7.7,8.7769,8.2385
2021-09-01,9.3638,10.4423,9.903
2021-09-02,9.4785,10.2512,9.8649
2021-09-03,10.58,10.8337,10.7068
2021-09-04,9.8138,10.3476,10.0807
2021-09-05,12.4019,12.7263,12.5641
2021-09-06,12.5119,13.4862,12.9991
2021-09-07,8.617,8.8247,8.7208
2021-09-08,6.6432,8.4767,7.56
2021-09-09,8.2267,9.0423,8.6345
2021-09-10,7.7534,9.1655,8.4594
2021-09-11,8.2267,9.0572,8.642
2021-09-12,8.4363,10.6054,9.5208
2021-09-13,7.415,8.9486,8.1818
2021-09-14,9.4879,10.8963,10.1921
2021-09-15,8.7839,9.6583,9.2211
2021-09-16,9.3599,10.4963,9.9281
2021-09-17,9.9285,9.6607,9.7946
2021-09-18,10.125,10.019,10.072
2021-09-19,8.8491,9.016,8.9326
2021-09-20,7.2332,6.5326,6.8829
2021-09-21,8.3719,7.7913,8.0816
2021-09-22,7.042,6.9712,7.0066
