date,btc_price,apparent_demand
2012-06-01,5.27243229308056,-266.99149636924267
2012-06-02,5.24695465914977,-60106.19499109592
2012-06-03,5.20513584865323,-6212.079128246754
2012-06-04,5.26318472470306,2436.168922705576
2012-06-05,5.43968559394814,-466.39222729951143
2012-06-06,5.46312714855186,4.271412139758468
2012-06-07,5.59202483226593,-26253.18459193874
2012-06-08,5.63299548385375,-20880.056908489205
2012-06-09,5.56199590518622,-11338.517453994602
2012-06-10,5.46868259025868,-5736.815704258159
2012-06-11,5.57499212744956,-7596.7460824223235
2012-06-12,5.70042863958306,-1589.0501414677128
2012-06-13,5.93483819503498,-107454.46206472907
2012-06-14,5.96795830938577,-22582.119730470702
2012-06-15,6.53126498781241,-44051.11732527893
2012-06-16,6.40205750592554,-6227.90880934149
2012-06-17,6.21665835157938,-157.9501607771963
2012-06-18,6.30970837418595,-5342.976908957586
2012-06-19,6.47562043608143,-1001.3451496278867
2012-06-20,6.71340012324679,-12009.844053355046
2012-06-21,6.68211665212944,-11111.641365328804
2012-06-22,6.55377578572481,1779.7326814224944
2012-06-23,6.45263640501852,-20543.05155961681
2012-06-24,6.35212598826988,4398.129919909872
2012-06-25,6.30692808460212,-20407.7997039482
2012-06-26,6.42053036226111,-43917.83231595531
2012-06-27,6.63127030354363,-4601.441367349587
2012-06-28,6.60588209533506,-1576.0907015930861
2012-06-29,6.6377733954871,-10643.37423995696
2012-06-30,6.70147701897504,-6060.1252404060215
2012-07-01,6.64009975007019,-36947.24368655402
2012-07-02,6.75998821078868,1686.2381063727662
2012-07-03,6.45793805690885,-1636.7213389510289
2012-07-04,6.52554480882112,-12335.022302194498
2012-07-05,6.66382828093331,-435.2034874195233
2012-07-06,6.65120696460704,2587.8152209296823
2012-07-07,6.77423906938925,13330.147278448567
2012-07-08,6.80578479107927,5501.958233580925
2012-07-09,7.02318638779854,-7316.443611597642
2012-07-10,7.20565709616109,41328.901008513756
2012-07-11,7.15013457854442,4971.069426936097
2012-07-12,7.67612017188412,-1630.0844112820923
2012-07-13,7.67320146617119,3260.4275182792917
2012-07-14,7.58464117527941,38523.75301033072
2012-07-15,7.62101320875434,3651.320568227209
2012-07-16,8.46416424074083,2782.742226135917
2012-07-17,8.83027201742877,2837.597353367135
2012-07-18,9.09624321619122,2793.811963953078
2012-07-19,8.86699310044171,3404.487854014151
2012-07-20,8.57217512814407,3953.8809159500524
2012-07-21,8.8457579440364,252.08097781334072
2012-07-22,8.4203719861554,3008.45564566087
2012-07-23,8.45212423482088,5876.459828589112
2012-07-24,8.59363315796697,-286.2423197934404
2012-07-25,8.80286120169547,2547.1064378311858
2012-07-26,8.912463704888,2693.3245134176686
2012-07-27,8.9108193718104,-6510.186204909347
2012-07-28,8.80371475059508,1956.724526704289
2012-07-29,8.70746909673569,-7208.4771264838055
2012-07-30,9.08836146566224,5386.603389672004
2012-07-31,9.34287895987739,3773.384721552953
2012-08-01,9.54469490846771,-867.9710300983861
2012-08-02,10.5352358143114,3351.51389734447
2012-08-03,10.9779199737169,5190.355940529145
2012-08-04,10.8614927893059,4314.113820497878
2012-08-05,10.8818853531931,-4370.809556611814
2012-08-06,10.8646055771551,3727.4821492806077
2012-08-07,11.1000027234805,-39493.84889095742
2012-08-08,11.0727393206864,4981.255011949688
2012-08-09,11.1682592770952,3683.674481875263
2012-08-10,11.3863944330225,5234.367843147367
2012-08-11,11.5109970561014,5195.891598645598
2012-08-12,11.6239470270345,2450.1698079844937
2012-08-13,12.0084845290007,4306.0324452370405
2012-08-14,12.173826112578,4016.9400437176228
2012-08-15,13.2475291580755,4173.91540718358
2012-08-16,13.5058788507023,6498.498926572502
2012-08-17,11.6610689802113,17131.37367132958
2012-08-18,11.6126447778604,7409.986868189648
2012-08-19,7.88843046855108,7582.395802249201
2012-08-20,10.0896315964923,7832.981572647579
2012-08-21,9.95650106467885,5148.75447350461
2012-08-22,9.82052601019116,4638.306458621286
2012-08-23,10.1263712848577,6048.21745281294
2012-08-24,10.5994517842311,-48506.84466615878
2012-08-25,10.5916941382261,3567.7149605918676
2012-08-26,10.6163676911242,6719.090229738504
2012-08-27,10.946191390968,6547.695817408152
2012-08-28,10.9400086994119,11983.60351688508
2012-08-29,10.9333793684994,5988.25267296005
2012-08-30,10.7872844840377,2403.3173737972975
2012-08-31,10.1604183177832,1819.526404506527
2012-09-01,9.96547656435284,-1266.354001481086
2012-09-02,10.2204284965284,6353.544385895133
2012-09-03,10.5300109299288,5717.768819742836
2012-09-04,10.4103125793911,5074.760107899085
2012-09-05,11.0009175788096,5260.248406920582
2012-09-06,11.1798400210527,6394.225540501997
2012-09-07,11.01715090374,6563.729548791423
2012-09-08,11.0406053901745,2652.2071554018185
2012-09-09,11.033861510262,5231.5215636836365
2012-09-10,11.1689307502104,5971.497447793372
2012-09-11,11.3102343829383,4819.261586221866
2012-09-12,11.3648786449551,5289.0936318216845
2012-09-13,11.4076396784589,3929.9752590097487
2012-09-14,11.7547732163463,5260.985275167972
2012-09-15,11.7563324296152,5639.426797230728
2012-09-16,11.9333429976825,6575.745139086619
2012-09-17,11.8743145465796,20063.354741369374
2012-09-18,12.336017914316,27749.299929912202
2012-09-19,12.5416558889025,4846.736342415214
2012-09-20,12.2927604062361,8043.056172566488
2012-09-21,12.3678164610961,12589.50066250842
2012-09-22,12.2132953677998,6916.278458559886
2012-09-23,12.1653471147639,5262.054985151626
2012-09-24,12.0933100855653,14938.695687199011
2012-09-25,12.0884522153222,5971.864850739017
2012-09-26,12.2699902864971,4256.764076876454
2012-09-27,12.3089017119945,3828.92958793696
2012-09-28,12.3879200192057,15297.114238161594
2012-09-29,12.3630985159986,6602.051229786128
2012-09-30,12.387752611578,4679.104454547167
2012-10-01,12.396378099424,4474.395551867783
2012-10-02,12.8334705909643,5213.288302051835
2012-10-03,12.8571830959704,11599.66128361784
2012-10-04,12.8499955078679,5335.021976954304
2012-10-05,12.6906604243815,5042.0669076777995
2012-10-06,12.5054290146214,3297.9906622879207
2012-10-07,11.8088362209301,3811.361504328437
2012-10-08,11.7750970615592,5055.721447460353
2012-10-09,11.8901849920493,4813.825538929552
2012-10-10,12.1196742372472,7581.242479469627
2012-10-11,12.0323725213688,4894.933542596176
2012-10-12,11.9909674553594,5985.228800408542
2012-10-13,11.8607590592531,5488.0224460233
2012-10-14,11.7503339573402,13323.30781566538
2012-10-15,11.8608531791416,6397.50676529482
2012-10-16,11.851232839112,-11635.155787612312
2012-10-17,11.8524924969037,14860.591478692368
2012-10-18,11.9434086613232,6000.132497667335
2012-10-19,11.7466180368638,5675.812052336521
2012-10-20,11.740595799939,5210.028674794361
2012-10-21,11.70884258701,6194.6445920057595
2012-10-22,11.7739991176808,-4070.087367397733
2012-10-23,11.673747540672,3976.3835230041295
2012-10-24,11.6512737843327,5014.722318874672
2012-10-25,10.8405550752095,-6323.956437809393
2012-10-26,10.1703989698262,7781.716972553171
2012-10-27,10.3082039288261,2596.7982940003276
2012-10-28,10.7048210643435,-11348.486316890456
2012-10-29,10.5965798171307,7055.531186447479
2012-10-30,10.8876742904718,5848.8886545524
2012-10-31,11.1981681665433,3936.751964188181
2012-11-01,10.579295013708,5505.282209987752
2012-11-02,10.4173955882617,6506.475426953286
2012-11-03,10.6420090191834,3558.003488213755
2012-11-04,10.7991996297811,6283.134992568754
2012-11-05,10.740142767633,6518.91879409831
2012-11-06,10.8838717202767,2157.3047879915684
2012-11-07,10.9377101759863,8534.95626220014
2012-11-08,10.9242795962457,3992.945342176594
2012-11-09,10.8104204223338,6616.783779012971
2012-11-10,10.8347859987849,6470.021679197438
2012-11-11,10.8659331506974,2803.5698884874582
2012-11-12,11.0171473552111,3498.32154990267
2012-11-13,11.0053105442411,1043.4764472981915
2012-11-14,10.9628790198881,4732.0052854074165
2012-11-15,11.1959710255672,-195352.70486869384
2012-11-16,11.7457475690456,3592.151470389217
2012-11-17,11.7847577411786,7.627280201762915
2012-11-18,11.6399479971305,4207.969125913456
2012-11-19,11.7601829601469,6515.199654377997
2012-11-20,11.705590839703,-987.3630120325834
2012-11-21,11.7481456690149,4179.777855423279
2012-11-22,12.3030228436012,5619.49797014147
2012-11-23,12.3450058705694,8150.98072240781
2012-11-24,12.4115736085033,3705.6678998488933
2012-11-25,12.545105850885,-20334.888597912155
2012-11-26,12.1299860876359,5765.405937795527
2012-11-27,12.1893480599252,1887.8529740460217
2012-11-28,12.3458950191662,2358.3108131438494
2012-11-29,12.4551525819641,1605.3971446594223
2012-11-30,12.57068531433,-1795.581989417784
2012-12-01,12.6669700639288,2671.5210287403315
2012-12-02,12.5000271920804,-1264.666872292757
2012-12-03,12.6774422005852,2469.14693232812
2012-12-04,13.3772556953385,22967.10124550108
2012-12-05,13.3650391946128,609.3720004456118
2012-12-06,13.2546760189191,-2797.3553036171943
2012-12-07,13.4293274936042,7271.0807233592495
2012-12-08,13.4306842952054,-7.876700071617961
2012-12-09,13.3996229895951,1195.5607077637687
2012-12-10,13.4445823731791,3108.130828049965
2012-12-11,13.6785738876335,-212.32582634221762
2012-12-12,13.7065807911752,5188.7066901717335
2012-12-13,13.73950338064,-5773.525790769607
2012-12-14,13.6248439224843,-360.72871389240026
2012-12-15,13.5588483411305,-4935.162452506833
2012-12-16,13.3694020985842,719.6897312141955
2012-12-17,13.2653351260352,1236.4692312804982
2012-12-18,13.2947699333597,-4838.2941451193765
2012-12-19,13.6106499253588,-26963.43146460317
2012-12-20,13.5710277198589,205.34307713527232
2012-12-21,13.516087401888,-14399.165733214468
2012-12-22,13.4844562231903,-1872.43740962632
2012-12-23,13.3327915615681,1563.3868087874725
2012-12-24,13.4299141839974,857.7575457524508
2012-12-25,13.4478318363456,1045.5975669315085
2012-12-26,13.4711901518354,759.2364876940846
2012-12-27,13.4317689531451,31.303933503106236
2012-12-28,13.5102068647148,-1631.5133023560047
2012-12-29,13.4086217509987,1566.9737150091678
2012-12-30,13.47792229064,365.23851107247174
2012-12-31,13.5599728441957,-38607.452018746175
2013-01-01,13.3556394747927,2862.6378261884674
2013-01-02,13.2944949976478,-3412.27121429611
2013-01-03,13.4254513211494,-2903.9085666025057
2013-01-04,13.5165440963178,-2412.5815424742177
2013-01-05,13.4425028839674,-5955.892067451961
2013-01-06,13.5182959408963,-2334.617024457082
2013-01-07,13.5879010666274,-4777.752471007407
2013-01-08,13.8059450561667,-3478.7470295149833
2013-01-09,13.851810954259,-3808.4476126311347
2013-01-10,14.1403692398625,276.0969738299027
2013-01-11,14.2743814397457,-2820.9879714101553
2013-01-12,14.2556120854955,-11743.21928190533
2013-01-13,14.1896432167947,255.6632826961577
2013-01-14,14.3413530803312,-1199.376399495639
2013-01-15,14.3547112047567,-1597.233497839421
2013-01-16,14.741671428825,-1161.9618127923459
2013-01-17,15.5286807890871,494.05060197785497
2013-01-18,15.710059558545,-6354.434033054858
2013-01-19,15.6144642016732,768.3270070422441
2013-01-20,15.7010026178448,1733.5414761183783
2013-01-21,16.8212499688939,2379.3753434363753
2013-01-22,17.2826816449062,-2960.7205261634663
2013-01-23,17.5163862905568,1958.8562166513875
2013-01-24,16.7789998792135,4861.493969998322
2013-01-25,17.4683551962752,5456.064317653887
2013-01-26,17.8026946637477,5351.512912552804
