date,btc_price,lth_supply_btc,sth_supply_btc,pct_lth_in_profit,pct_sth_in_profit,pct_lth_in_loss,pct_sth_in_loss,percent_btc_in_profit,percent_btc_in_loss
2024-01-26,41846.611859567,15828780.532194614,3780753.0127717517,86.9231206161404,52.71287845830127,13.076879383859517,47.28712154171586,80.32691533153698,19.67257471500125
2024-01-27,42124.7165589278,15839435.584220625,3771166.710746572,87.03488201239085,62.20232293782444,12.965117987610212,37.79767706219174,82.25910079841138,17.74038927592481
2024-01-28,42074.4906532441,15842606.381648999,3768995.9133179476,87.01949783478295,56.523404874591854,12.980502165217322,43.476595125419735,81.15828548511277,18.841204615221876
2024-01-29,43332.3683844016,15833982.71233734,3778594.582629901,87.70429299465033,78.32287409001992,12.295707005349975,21.677125909985744,85.89641390976719,14.103076215915664
2024-01-30,42985.0078295262,15807616.38741584,3805860.9075512104,87.51904535604655,72.10420471183623,12.480954643954341,27.89579528817432,84.52747016165661,15.472019987424174
2024-01-31,42588.2593257684,15820447.469430888,3793848.575535947,87.43530919188703,62.80023196153371,12.564690808113896,37.199768038481686,82.66990647565592,17.32958369470769
2024-02-01,43092.4278760411,15816219.02521158,3799033.269755725,87.59976168148258,68.79740803253623,12.400238318517943,31.202591967476806,83.9577405765676,16.041749618651092
2024-02-02,43235.5085016416,15812870.504929442,3803556.7900377964,87.76586484238437,77.17776903759322,12.234135157616373,22.82223096241503,85.71243307675746,14.287057148996304
2024-02-03,43005.2067269749,15817619.078897407,3799751.9660685593,87.58128965071627,65.4217090475314,12.418710349285057,34.578290952490384,83.28870433731653,16.710785912958205
2024-02-04,43023.0378408148,15817703.376173723,3800636.418793005,87.62291654169398,66.34821148264514,12.377083458306911,33.65178851736625,83.50096892589303,16.49852134955388
2024-02-05,42693.1995056128,15811619.654728107,3807695.140238093,87.48547085198632,61.43855908691138,12.51452914801377,38.561440913108285,82.42989458071412,17.569595720060885
2024-02-06,43105.8596900106,15799220.690195112,3821156.604772279,87.63645446710933,74.17829982138755,12.363545532890727,25.82170017862487,85.0149851019583,14.984505226423583
2024-02-07,44349.9033889938,15795314.550212057,3826062.744755087,88.25725372095783,95.36908175456868,11.74274627904318,4.630918245432788,89.64356496305919,10.355925391293363
2024-02-08,45307.8804160099,15797670.820785098,3824568.974182695,88.636025062793,96.11015015888086,11.36397493720614,3.8898498411227953,90.09234697176767,9.907143404990142
