date,btc_price,realized_cap_usd,lth_realized_cap_usd,sth_realized_cap_usd
2014-11-28,377.286738106794,4555039201.5876,3007513426.82108,1547525811.735613
2014-11-29,376.03374929854,4555350330.6861,3008581319.6388,1546769044.136183
2014-11-30,379.369571634456,4557292405.76424,3009430412.46486,1547862049.5355508
2014-12-01,380.086307391887,4557695528.81048,3017130391.04996,1540565177.540165
2014-12-02,382.363214227987,4554073085.57134,3024341032.97809,1529732034.795899
2014-12-03,375.985859681587,4554113615.87453,3035962620.0853,1518150964.149567
2014-12-04,370.26099640248,4541610608.34808,3016125628.089,1525484983.426814
2014-12-05,377.551740989351,4543108404.45728,3024555949.88608,1518552487.488151
2014-12-06,376.276377938286,4543824582.73339,3028758716.84808,1515065838.246628
2014-12-07,376.430917784047,4544203093.01302,3030412804.27482,1513790252.609822
2014-12-08,361.945295766233,4508957536.88682,2945719069.15476,1563238444.228084
2014-12-09,352.113926603953,4509550823.76837,2938704938.81951,1570845874.524621
2014-12-10,345.32686674438,4498808563.66254,2940202783.09402,1558605826.122999
2014-12-11,348.832460823947,4497217584.25997,2944871730.62422,1552345906.484185
2014-12-12,352.523263124099,4497451435.32471,2947685700.94217,1549765762.950415
2014-12-13,348.064134001187,4497011589.32504,2949667731.90071,1547343889.7825332
2014-12-14,354.05950516405,4498061476.37742,2952051948.4412,1546009519.334072
2014-12-15,346.414165172972,4495437393.93115,2951739132.66183,1543698181.518293
2014-12-16,326.06762526495,4492451373.86884,2954340696.85589,1538110722.957053
2014-12-17,320.311064317325,4488987229.84435,2955725318.47666,1533261938.47967
2014-12-18,312.057780928277,4484073670.82924,2957653228.40702,1526420392.976158
2014-12-19,318.469871085696,4481080190.47418,2959568912.9296,1521511288.872725
2014-12-20,330.488900318104,4479849059.93322,2960536119.74867,1519312940.563044
2014-12-21,320.874352689124,4469345462.33396,2969185681.74509,1500159723.110136
2014-12-22,332.46660630525,4469200028.67096,2969039712.52655,1500160382.19306
2014-12-23,336.252902313939,4470500948.34322,2982201718.63622,1488299218.076919
2014-12-24,323.058626990521,4446551638.83389,2945541810.03567,1501009772.813352
2014-12-25,319.075829402798,4446171867.91678,2950579605.82025,1495592302.551215
2014-12-26,328.021054619527,4446520971.59101,2952961038.17063,1493559945.545485
2014-12-27,316.236593310823,4445708597.06274,2956714403.96027,1488994190.366772
2014-12-28,317.217751330565,4445980814.96865,2959790555.6669,1486190217.447399
2014-12-29,312.991088322749,4441318143.31402,2959911089.43385,1481407020.050926
2014-12-30,311.33815552032,4422211576.42334,2942475739.66068,1479735792.764432
2014-12-31,322.140070174456,4417522589.47928,2941690476.10032,1475832058.991019
2015-01-01,314.768935302014,4417953015.14522,2945894905.10894,1472058090.607662
2015-01-02,316.202080790647,4418026541.12557,2949843436.36963,1468183091.893827
2015-01-03,279.754184919859,4406831731.34419,2952684658.03445,1454147161.036463
