date,event,btc_price
2/28/2015,,255.1903996
3/1/2015,,261.4426211
3/2/2015,,276.9047798
3/3/2015,,282.7946211
3/4/2015,,273.2668938
3/5/2015,,276.962909
3/6/2015,,273.2456708
3/7/2015,,276.944904
3/8/2015,,275.4763778
3/9/2015,,290.3850125
3/10/2015,,292.234722
3/11/2015,,296.7906834
3/12/2015,,295.7151681
3/13/2015,,283.3092641
3/14/2015,,282.7142369
3/15/2015,,287.1625594
3/16/2015,,291.1999884
3/17/2015,,285.188943
3/18/2015,,257.3596811
3/19/2015,,262.0377582
3/20/2015,,262.506448
3/21/2015,,260.7258632
3/22/2015,,268.5677751
3/23/2015,,267.0701012
3/24/2015,,245.8146539
3/25/2015,,246.3779321
3/26/2015,,249.4069501
3/27/2015,,247.0626337
3/28/2015,,253.0674798
3/29/2015,,242.6539264
3/30/2015,,248.1591994
3/31/2015,,244.6818992
4/1/2015,,247.17161
4/2/2015,,253.517268
4/3/2015,,254.418209
4/4/2015,,253.8369326
4/5/2015,,260.7941837
4/6/2015,,255.876907
4/7/2015,,253.9166935
4/8/2015,,245.3920728
4/9/2015,,243.4640745
4/10/2015,,236.300607
4/11/2015,,236.9946566
4/12/2015,,236.6854726
4/13/2015,,224.7336879
4/14/2015,,219.1998724
4/15/2015,,223.735949
4/16/2015,,228.310457
4/17/2015,,222.6764929
4/18/2015,,223.4579874
4/19/2015,,222.5937547
4/20/2015,,224.5161046
4/21/2015,,236.1762045
4/22/2015,,234.0330205
4/23/2015,,236.0678947
4/24/2015,,231.1315224
4/25/2015,,226.3001297
4/26/2015,,219.9858815
4/27/2015,,227.4208952
4/28/2015,,225.4007831
4/29/2015,,225.4725294
4/30/2015,,236.3112642
5/1/2015,,232.0835183
5/2/2015,,234.9728825
5/3/2015,,240.4227453
5/4/2015,,238.8469706
5/5/2015,,235.9586395
5/6/2015,,229.2555899
5/7/2015,,237.2480005
5/8/2015,,244.2642225
5/9/2015,,242.4573076
5/10/2015,,240.6671798
5/11/2015,,242.121705
5/12/2015,,241.7141219
5/13/2015,,235.9495814
5/14/2015,,237.0242471
5/15/2015,,237.6158269
5/16/2015,,236.0434239
5/17/2015,,236.3231592
5/18/2015,,233.2582725
5/19/2015,,231.9052813
5/20/2015,,234.300875
5/21/2015,,235.4416772
5/22/2015,,240.3940334
5/23/2015,,238.8342619
5/24/2015,,240.5927081
5/25/2015,,237.270562
