Cycle,Date_prev,Date_curr,Price_prev,Price_curr,MVRV_prev,MVRV_curr,Dir_MVRV,Z_prev,Z_curr,Dir_Z,RollMean_prev,RollMean_curr,RollStd_prev,RollStd_curr,Class
2013,2014-06-03,2014-06-17,671.348575400471,613.965632412383,1.971802230315585,1.7555479108908976,TURUN,-0.3951035095486149,-0.6273057874443138,TURUN,2.314924632112535,2.303027244057435,0.8684367349430773,0.8727471420230397,SEARAH (turun-turun)
2013,2014-06-17,2014-07-02,613.965632412383,654.638678058191,1.7555479108908976,1.8450514456138616,NAIK,-0.6273057874443138,-0.506221559553952,NAIK,2.303027244057435,2.289911508010007,0.8727471420230397,0.8787852947000635,SEARAH (naik-naik)
2013,2014-07-02,2014-07-12,654.638678058191,636.214094287588,1.8450514456138616,1.7794873710083234,TURUN,-0.506221559553952,-0.588760924175076,FLAT,2.289911508010007,2.2945988988061297,0.8787852947000635,0.8749078049286961,"DIVERGEN (MVRV turun, Z naik/flat)"
2013,2014-07-12,2014-07-18,636.214094287588,630.816186224942,1.7794873710083234,1.759182040585235,FLAT,-0.588760924175076,-0.6085705771177139,FLAT,2.2945988988061297,2.2923616289042212,0.8749078049286961,0.8761179201995087,FLAT/FLAT (tidak ada perubahan berarti)
2013,2014-07-18,2014-08-01,630.816186224942,594.711046101146,1.759182040585235,1.650040978990877,TURUN,-0.6085705771177139,-0.7194872249095909,TURUN,2.2923616289042212,2.2838415062712936,0.8761179201995087,0.8809058803789858,SEARAH (turun-turun)
2013,2014-08-01,2014-08-08,594.711046101146,590.191442838535,1.650040978990877,1.623821084549717,FLAT,-0.7194872249095909,-0.737847528592263,FLAT,2.2838415062712936,2.2766436862282715,0.8809058803789858,0.884766264548006,FLAT/FLAT (tidak ada perubahan berarti)
2013,2014-08-08,2014-09-23,590.191442838535,438.947355668582,1.623821084549717,1.2354162038430283,TURUN,-0.737847528592263,-0.994199442650651,TURUN,2.2766436862282715,2.165569903657373,0.884766264548006,0.9355805886738853,SEARAH (turun-turun)
2013,2014-09-23,2014-10-14,438.947355668582,399.092928913598,1.2354162038430283,1.1531161538823853,TURUN,-0.994199442650651,-0.9740511895857072,FLAT,2.165569903657373,2.0975673575536113,0.9355805886738853,0.9696114678253501,"DIVERGEN (MVRV turun, Z naik/flat)"
2013,2014-10-14,2014-11-12,399.092928913598,431.735207360928,1.1531161538823853,1.2674681647337205,NAIK,-0.9740511895857072,-0.703211399464331,NAIK,2.0975673575536113,1.9417282602972261,0.9696114678253501,0.9588298711840011,SEARAH (naik-naik)
2013,2014-11-12,2014-12-02,431.735207360928,382.363214227987,1.2674681647337205,1.1390073428183638,TURUN,-0.703211399464331,-0.9371509578321395,TURUN,1.9417282602972261,1.7310464676320665,0.9588298711840011,0.6317436053026448,SEARAH (turun-turun)
